area,route_name,date,gpx_file,url
甲信越,黒倉山北面・鍋倉山,2025年01月15日(水),routes/track-7702269.gpx,https://www.yamareco.com/modules/yamareco/detail-7702269.html
札幌近郊,手稲ネオパラ,2025年01月13日(月),routes/track-7702358.gpx,https://www.yamareco.com/modules/yamareco/detail-7702358.html
四国,剣山スキー場,2025年01月11日(土),routes/track-7702922.gpx,https://www.yamareco.com/modules/yamareco/detail-7702922.html
積丹・ニセコ・羊蹄山,真狩コース六合目,2025年01月16日(木),routes/track-7703038.gpx,https://www.yamareco.com/modules/yamareco/detail-7703038.html
札幌近郊,札幌タケノコ山東斜面2本,2025年01月16日(木),routes/track-7703403.gpx,https://www.yamareco.com/modules/yamareco/detail-7703403.html
積丹・ニセコ・羊蹄山,羊蹄山　真狩コース,2025年01月16日(木),routes/track-7703501.gpx,https://www.yamareco.com/modules/yamareco/detail-7703501.html
近畿,旧名色スキー場BC,2025年01月16日(木),routes/track-7703515.gpx,https://www.yamareco.com/modules/yamareco/detail-7703515.html
槍・穂高・乗鞍,Mt乗鞍ゲレンデどパウBC,2025年01月16日(木),routes/track-7703529.gpx,https://www.yamareco.com/modules/yamareco/detail-7703529.html
磐梯・吾妻・安達太良,磐梯山（東尾根↑・無名沢↓）,2025年01月16日(木),routes/track-7703559.gpx,https://www.yamareco.com/modules/yamareco/detail-7703559.html
剱・立山,土倉山,2025年01月16日(木),routes/track-7703638.gpx,https://www.yamareco.com/modules/yamareco/detail-7703638.html
甲信越,湯の丸山BC-南峰＆北峰計2本滑走-,2025年01月16日(木),routes/track-7703757.gpx,https://www.yamareco.com/modules/yamareco/detail-7703757.html
八ヶ岳・蓼科,蓼科山　北面BCはまだ早かった,2025年01月16日(木),routes/track-7703878.gpx,https://www.yamareco.com/modules/yamareco/detail-7703878.html
甲信越,里山ブルー　金倉山　山スキー,2025年01月16日(木),routes/track-7703970.gpx,https://www.yamareco.com/modules/yamareco/detail-7703970.html
札幌近郊,タケノコ山,2025年01月09日(木),routes/track-7703998.gpx,https://www.yamareco.com/modules/yamareco/detail-7703998.html
積丹・ニセコ・羊蹄山,羊蹄山BCマッキモ1.16,2025年01月16日(木),routes/track-7704030.gpx,https://www.yamareco.com/modules/yamareco/detail-7704030.html
槍・穂高・乗鞍,十石山,2025年01月16日(木),routes/track-7704294.gpx,https://www.yamareco.com/modules/yamareco/detail-7704294.html
磐梯・吾妻・安達太良,安達太良鉄山迷沢で山スキー,2025年01月13日(月),routes/track-7704343.gpx,https://www.yamareco.com/modules/yamareco/detail-7704343.html
甲信越,かぐら中尾根 南斜面,2025年01月16日(木),routes/track-7704662.gpx,https://www.yamareco.com/modules/yamareco/detail-7704662.html
志賀・草津・四阿山・浅間,四阿山 2170mまで,2025年01月17日(金),routes/track-7704714.gpx,https://www.yamareco.com/modules/yamareco/detail-7704714.html
白馬・鹿島槍・五竜,若栗散策,2025年01月17日(金),routes/track-7704715.gpx,https://www.yamareco.com/modules/yamareco/detail-7704715.html
東海,花房山1189.5m北面テレマーク,2021年02月20日(土),routes/track-7704717.gpx,https://www.yamareco.com/modules/yamareco/detail-7704717.html
妙高・戸隠・雨飾,真那板山,2025年01月17日(金),routes/track-7704800.gpx,https://www.yamareco.com/modules/yamareco/detail-7704800.html
志賀・草津・四阿山・浅間,湯ノ丸山,2025年01月17日(金),routes/track-7704859.gpx,https://www.yamareco.com/modules/yamareco/detail-7704859.html
日高山脈,労山熊見山,2025年01月17日(金),routes/track-7704941.gpx,https://www.yamareco.com/modules/yamareco/detail-7704941.html
白山,白山鹿、瀬女スキー,2025年01月18日(土),routes/track-7705017.gpx,https://www.yamareco.com/modules/yamareco/detail-7705017.html
